Account,Fraud_Count
C904300960,2
C964377943,2
C650699445,2
C385133759,2
C104038589,2
C1656842502,2
C505532836,2
C1366192319,2
C2020337583,2
C1497532505,2
C52390890,2
C1780714769,2
C935310781,2
C1837027614,2
C200064275,2
C1399829166,2
C1669818195,2
C1259079602,2
C686334805,2
C475338087,2
C1980653895,2
C803116137,2
C1827219533,2
C1981613973,2
C967226405,2
C1827800010,2
C185805228,2
C2129197098,2
C1655359478,2
C410033330,2
C1653587362,2
C1325541393,2
C14138104,2
C1013511446,2
C1193568854,2
C1185292292,2
C1650668671,2
C1601170327,2
C644163395,2
C643624257,2
C1148781766,2
C105660024,2
C1460854172,2
C668046170,2
C357911107,1
C357527156,1
C356995012,1
C36485609,1
C357089378,1
C364720575,1
C357180483,1
C364617026,1
C357229033,1
C357275895,1
C364474699,1
C357338686,1
C357956588,1
C364400523,1
C357948041,1
C357527679,1
C356781229,1
C357561283,1
C357942750,1
C357620620,1
C364331020,1
C364430080,1
C357888969,1
C357910633,1
C356905617,1
C356706674,1
C364970868,1
C358038381,1
C355424107,1
C355565326,1
C365968372,1
C355594712,1
C355611635,1
C355646026,1
C355648963,1
C365896510,1
C355768552,1
C355787543,1
C356110177,1
C356153034,1
C365773860,1
C356177155,1
C365708951,1
C356205172,1
C365589282,1
C356431385,1
C36534041,1
C365271329,1
C356480504,1
C356571967,1
C365237849,1
C356600887,1
C356699181,1
C364328277,1
C358568461,1
C358188091,1
C36219059,1
C363508140,1
C363499391,1
C361594462,1
C361669345,1
C362018196,1
C362023079,1
C362029597,1
C362085592,1
C362089456,1
C362141852,1
C363141515,1
C362205540,1
C361429301,1
C362274629,1
C362343173,1
C362433458,1
C362452126,1
C362748742,1
C3631299,1
C363126293,1
C3630973,1
C362803701,1
C362968415,1
C362987320,1
C361536240,1
C361327171,1
C358552175,1
C3592918,1
C363013236,1
C35858617,1
C358852719,1
C36414271,1
C359107555,1
C364029634,1
C364009492,1
C363777689,1
C359107574,1
C359146196,1
C359165677,1
C359361897,1
C361194478,1
C359505480,1
C359671277,1
C359717577,1
C355360625,1
C363703027,1
C359739038,1
C359830573,1
C359887652,1
C360215463,1
C360497591,1
C360538311,1
C1000036340,1
C353964501,1
C355341825,1
C343563320,1
C344287323,1
C344359156,1
C34452419,1
C344604572,1
C344677665,1
C344711118,1
C344825727,1
C344826592,1
C345070872,1
C345169466,1
C345189504,1
C345234644,1
C345293642,1
C345391268,1
C345453750,1
C345845243,1
C345891541,1
C346346824,1
C346649476,1
C34669329,1
C346707940,1
C347056727,1
C347075851,1
C347416384,1
C347796427,1
C347805386,1
C347823837,1
C343919931,1
C343345083,1
C355172230,1
C343288009,1
C34007989,1
C340123117,1
C34016039,1
C34029186,1
C34034576,1
C340828714,1
C340833561,1
C340862934,1
C340908219,1
C341046619,1
C341414106,1
C341573287,1
C34164934,1
C341763133,1
C341811151,1
C342198691,1
C342207020,1
C342413746,1
C342454180,1
C342463747,1
C34257403,1
C342648059,1
C342734200,1
C342873826,1
C343064779,1
C34310706,1
C343171866,1
C347989965,1
C348031801,1
C348036671,1
C348049773,1
C351713185,1
C351734754,1
C352239275,1
C352364019,1
C352513989,1
C35276012,1
C352927410,1
C353172290,1
C353183181,1
C353411083,1
C353441050,1
C353554883,1
C353651788,1
C353673917,1
C353769887,1
C353840221,1
C353864059,1
C354003512,1
C354106674,1
C354225366,1
C354227932,1
C354295932,1
C354542931,1
C354729462,1
C354861131,1
C355084897,1
C355168842,1
C351712967,1
C351398995,1
C351378150,1
C349513899,1
C348303891,1
C348342265,1
C34841317,1
C348424579,1
C348431786,1
C348655001,1
C348795905,1
C348872847,1
C349231889,1
C349322282,1
C349350443,1
C34938557,1
C349558333,1
C351362934,1
C349611692,1
C349781301,1
C349802040,1
C350037607,1
C350043001,1
C350073748,1
C350145239,1
C350442116,1
C350986885,1
C350993487,1
C351250404,1
C351297720,1
C366045175,1
C367894534,1
C366088606,1
C385233047,1
C383943825,1
C383956352,1
C384072543,1
C384177810,1
C384242072,1
C384245570,1
C384250623,1
C384267839,1
C384434585,1
C385055273,1
C385061535,1
C385080311,1
C385209439,1
C385289629,1
C383839277,1
C385531487,1
C385537527,1
C385589098,1
C38559733,1
C385619809,1
C385675312,1
C385716875,1
C386160700,1
C386229497,1
C386318315,1
C386359877,1
C386641787,1
C386673709,1
C383882703,1
C383804904,1
C386742886,1
C382300309,1
C381637925,1
C381648011,1
C381855260,1
C381876590,1
C381883886,1
C381971403,1
C382034420,1
C382068653,1
C382134181,1
C38219456,1
C38221870,1
C382272679,1
C382299931,1
C382312588,1
C383746092,1
C382431057,1
C38256696,1
C382584608,1
C382837005,1
C382898342,1
C382918282,1
C38292810,1
C383086012,1
C383165349,1
C383197535,1
C383644087,1
C383698470,1
C383717053,1
C386692409,1
C386798101,1
C366210516,1
C392119936,1
C390897002,1
C390992716,1
C391051128,1
C391100177,1
C391166048,1
C391244346,1
C391483401,1
C391508712,1
C391747525,1
C39176629,1
C391839907,1
C39195818,1
C392060027,1
C392198260,1
C390809517,1
C392213931,1
C392215840,1
C392319907,1
C392599315,1
C392618235,1
C39269592,1
C392791213,1
